'Update Stock' can not be checked because items are not delivered via {0},'Update Stock' can not be checked because items are not delivered via {0},
'Update Stock' cannot be checked for fixed asset sale,'Update Stock' cannot be checked for fixed asset sale,
'employee_field_value' and 'timestamp' are required.,'employee_field_value' and 'timestamp' are required.,
(Ca+Mg)/K,(Ca + Mg) / K,
(Forecast),(Pronóstico),
(Half Day),(Medio día),
(Hour Rate / 60) * Actual Operation Time,(Tarifa por hora / 60) * Tiempo real de la operación,
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(Número de serie: {0}) no se puede consumir ya que está reservado para cumplir con el pedido de venta {1}.,
(including),(incluso),
) for {0},) para {0},
* Will be calculated in the transaction.,* Será calculado en la transacción.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Año fiscal** representa un ejercicio financiero. Todos los asientos contables y demás transacciones importantes son registradas contra el **año fiscal**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ** Distribución mensual ayuda a distribuir el presupuesto / Target a través de meses si tiene la estacionalidad de su negocio.,
...Adding Article to Topics,... Agregar artículo a temas,
...Adding Course to Programs,... Agregar curso a programas,
...Adding Quiz to Topics,... Agregar cuestionario a los temas,
...Adding Topic to Courses,... Agregar tema a los cursos,
1 Loyalty Points = How much base currency?,1 Puntos de lealtad = ¿Cuánta moneda base?,
1 hr,1 hora,
194A,194A,
194C,194C,
194D,194D,
194H,194H,
194I,194I,
194J,194J,
194LA,194LA,
194LBB,194LBB,
194LBC,194LBC,
2 Yearly,2 años,
30 mins,30 minutos,
6 hrs,6 horas,
80G Number,80G Number,
80G With Effect From,80G With Effect From,
90 Above,90 Above,
<b>Company</b> is a mandatory filter.,<b>La empresa</b> es un filtro obligatorio.,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Ejemplo:</b> SAL- {first_name} - {date_of_birth.year} <br> Esto generará una contraseña como SAL-Jane-1972,
<b>From Date</b> is a mandatory filter.,<b>Desde la fecha</b> es un filtro obligatorio.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>From Time</b> no puede ser posterior a <b>To Time</b> para {0},
"<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results",
<b>To Date</b> is a mandatory filter.,<b>Hasta la fecha</b> es un filtro obligatorio.,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Other Details</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">No se encontraron transacciones bancarias</div>",
"<div class=""well"">
Edite la lista de Series en el siguiente campo. Reglas:
<ul>
<li>Cada Prefijo debe estar en una nueva línea.</li>
<li>Se permiten caracteres especiales ""/"" y ""-"".</li>
<li>Se puede definir la cantidad de dígitos que tendrán los números de serie usando un punto '.' seguido por numerales '#'. Por ejemplo, "".####"" significa que la serie tendrá cuatro dígitos (por defecto tienen cinco).</li>
</ul>
Ejemplos:<br>
INV-<br>
INV-10-<br>
INVK-<br>
INV-.####<br>
</div>","<div class=""well"">
Edite la lista de Series en el siguiente campo. Reglas:
<ul>
<li>Cada Prefijo debe estar en una nueva línea.</li>
<li>Se permiten caracteres especiales ""/"" y ""-"".</li>
<li>Se puede definir la cantidad de dígitos que tendrán los números de serie usando un punto '.' seguido por numerales '#'. Por ejemplo, "".####"" significa que la serie tendrá cuatro dígitos (por defecto tienen cinco).</li>
</ul>
Ejemplos:<br>
INV-<br>
INV-10-<br>
INVK-<br>
INV-.####<br>
</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Todas las medidas en centímetros. </h3>
</div>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Ejemplos de condiciones</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Or</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Ajustes del número de cuenta</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Importe en palabras</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Ajustes de fecha</label>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>Ejemplos de condiciones:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
A BOM with name {0} already exists for item {1}.,Ya existe una lista de materiales con el nombre {0} para el artículo {1}.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Existe una categoría de cliente con el mismo nombre. Por favor cambie el nombre de cliente o renombre la categoría de cliente,
A Default Service Level Agreement already exists.,Ya existe un Acuerdo de nivel de servicio predeterminado.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,No se puede agregar un centro de costos distribuidos en la tabla de asignación de centros de costos distribuidos.,
A GSTIN must have 15 characters.,A GSTIN must have 15 characters.,
A Lead requires either a person's name or an organization's name,Una iniciativa requiere el nombre de una persona o el nombre de una organización,
A Negative,A Negativo,
A Positive,A Positivo,
"A Product or a Service that is bought, sold or kept in stock.","Un producto o un servicio que se compra, se vende o se mantiene en stock.",
A condition for a Shipping Rule,Una condición para una regla de envío,
A customer is already linked to this Member,Un cliente ya está vinculado a este miembro,
A customer must have primary contact email.,A customer must have primary contact email.,
A customer with the same name already exists,Ya existe un cliente con el mismo nombre,
A friendly reminder of an important date for our team.,A friendly reminder of an important date for our team.,
A link to all the Locations in which the Crop is growing,Un enlace a todas las ubicaciones en las que crece la cosecha,
A logical Warehouse against which stock entries are made.,Un Almacén lógico contra el que se crean las entradas de inventario,
A name by which you will identify this template. You can change this later.,A name by which you will identify this template. You can change this later.,
A new appointment has been created for you with {0},Se ha creado una nueva cita para usted con {0},
A question must have more than one options,Una pregunta debe tener más de una opción,
A qustion must have at least one correct options,Una pregunta debe tener al menos una opción correcta,
A template with tax category {0} already exists. Only one template is allowed with each tax category,A template with tax category {0} already exists. Only one template is allowed with each tax category,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un distribuidor / proveedor / comisionista / afiliado / revendedor que vende productos de empresas a cambio de una comisión.,
A {0} exists between {1} and {2} (,A {0} existe entre {1} y {2} (,
A+,A +,
A-,A-,
A4,A4,
AB Negative,AB Negativo,
AB Positive,AB Positivo,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AE,AE,
AGE,AGE,
AMC Expiry Date,Fecha de caducidad de CMA (Contrato de Mantenimiento Anual),
API,API,
API Endpoint,API Endpoint,
API Key,Clave de API,
API Secret Key,Clave secreta de API,
API Token,Token API,
API consumer key,Clave de Consumidor API,
API consumer secret,Clave Secreta de Consumidor API,
AU,AU,
AWB Number,AWB Number,
AWS Access Key ID,ID de clave de acceso AWS,
Abbr,Abreviatura,
Abbr can not be blank or space,La abreviatura no puede estar en blanco o usar espacios,
Abbreviation,Abreviación,
Abbreviation Rename Error,Abbreviation Rename Error,
Abbreviation already used for another company,Abreviatura ya utilizada para otra empresa,
Abbreviation cannot have more than 5 characters,Abreviatura no puede tener más de 5 caracteres,
Abbreviation is mandatory,La abreviatura es obligatoria,
Abdomen,Abdomen,
About the Company,Sobre la Compañía,
About your company,Sobre su Compañía,
About {0} minute remaining,Quedan aproximadamente {0} minutos,
About {0} minutes remaining,Quedan aproximadamente {0} minutos,
About {0} seconds remaining,Quedan aproximadamente {0} segundos,
Above,Arriba,
Absent,Ausente,
Absent Days,Días ausentes,
Absent Student Report,Informe del alumno ausente,
Academic,Académico,
Academic Term,Término académico,
Academic Term and Program,Término académico y programa,
Academic Year,Año académico,
Academic Year Name,Nombre Año Académico,
Academics User,Usuario Académico,
Acceptance Criteria Formula,Acceptance Criteria Formula,
Acceptance Criteria Value,Acceptance Criteria Value,
Accepted,Aceptado,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Cantidad Aceptada + Rechazada debe ser igual a la cantidad Recibida por el Producto {0},
Accepted Qty,Cantidad aceptada,
Accepted Qty in Stock UOM,Cantidad aceptada en UOM del almacén,
Accepted Quantity,Cantidad Aceptada,
Accepted Warehouse,Almacén aceptado,
Access Token,Token de Acceso,
Access Token Secret,Secreto de token de acceso,
Accessable Value,Valor accesible,
Account,Cuenta,
Account Balance,Balance de la cuenta,
Account Balance Processing Error,Error de procesamiento del saldo de la cuenta,
Account Currency,Divisa de cuenta,
Account Details,Detalles de la Cuenta,
Account Head,Encabezado de cuenta,
Account Info,Informacion de cuenta,
Account Manager,Gerente de cuentas,
Account Missing,Cuenta Faltante,
Account Name,Nombre de la Cuenta,
Account No,Cuenta No,
Account Not Found,Cuenta no encontrada,
Account Number,Número de cuenta,
Account Number Length,Account Number Length,
Account Number {0} already used in account {1},Número de cuenta {0} ya usado en la cuenta {1},
Account Opening Balance,Balance de apertura,
Account Paid From,De cuenta de pago,
Account Paid To,Cuenta pagado hasta,
Account Pay Only,Sólo cuenta de pago,
Account SID,SID de cuenta,
Account Subtype,Subtipo de cuenta,
Account Type,Tipo de cuenta,
Account Type for {0} must be {1},Tipo de cuenta para {0} debe ser {1},
Account Value,Valor de la cuenta,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Balance de la cuenta ya en Crédito, no está permitido establecer ""Balance Debe Ser"" como ""Débito""",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Balance de la cuenta ya en Débito, no está permitido establecer ""Balance Debe Ser"" como ""Crédito""",
Account for Change Amount,Cuenta para monto de cambio,
Account for accepting donation payments,Account for accepting donation payments,
Account for accepting membership payments,Account for accepting membership payments,
Account is mandatory to get payment entries,La cuenta es obligatoria para obtener entradas de pago,
Account is not set for the dashboard chart {0},La cuenta no está configurada para el cuadro de mandos {0},
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,El número de cuenta para la cuenta {0} no está disponible. <br> Configure su plan de cuentas correctamente.,
Account with child nodes cannot be converted to ledger,Una cuenta con nodos hijos no puede convertirse en libro mayor,
Account with child nodes cannot be set as ledger,Una cuenta con nodos hijos no puede ser establecida como libro mayor,
Account with existing transaction can not be converted to group.,Cuenta con transacción existente no se puede convertir al grupo.,
Account with existing transaction can not be deleted,Cuenta con transacción existente no se puede eliminar,
Account with existing transaction cannot be converted to ledger,Cuenta con una transacción existente no se puede convertir en el libro mayor,
Account {0} already exists. Please enter a different name for your bank account.,Account {0} already exists. Please enter a different name for your bank account.,
Account {0} appears multiple times,Account {0} appears multiple times,
Account {0} does not belong to company {1},Cuenta {0} no pertenece a la Compañía {1},
Account {0} does not belong to company: {1},Cuenta {0} no pertenece a la compañía: {1},
Account {0} does not belongs to company {1},La cuenta {0} no pertenece a la compañía {1},
Account {0} does not exist,Cuenta {0} no existe,
Account {0} does not exists,La cuenta {0} no existe,
Account {0} does not exists in the dashboard chart {1},La cuenta {0} no existe en el cuadro de mandos {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Cuenta {0} no coincide con la Compañía {1}en Modo de Cuenta: {2},
Account {0} exists in parent company {1}.,La cuenta {0} existe en la empresa matriz {1}.,
Account {0} has been entered multiple times,Cuenta {0} se ha introducido varias veces,
Account {0} is added in the child company {1},La cuenta {0} se agrega en la empresa secundaria {1},
Account {0} is frozen,La cuenta {0} está congelada,
Account {0} is invalid. Account Currency must be {1},La cuenta {0} no es válida. La divisa de la cuenta debe ser {1},
Account {0}: Parent account {1} can not be a ledger,Cuenta {0}: la cuenta padre {1} no puede ser una cuenta de libro mayor,
Account {0}: Parent account {1} does not belong to company: {2},Cuenta {0}: la cuenta padre {1} no pertenece a la empresa: {2},
Account {0}: Parent account {1} does not exist,Cuenta {0}: la cuenta padre {1} no existe,
Account {0}: You can not assign itself as parent account,Cuenta {0}: no puede asignarse a sí misma como cuenta padre,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Cuenta: <b>{0}</b> es capital Trabajo en progreso y no puede actualizarse mediante Asiento contable,
Account: {0} can only be updated via Stock Transactions,Cuenta: {0} sólo puede ser actualizada mediante transacciones de inventario,
Account: {0} does not exist,Account: {0} does not exist,
Account: {0} is not permitted under Payment Entry,Cuenta: {0} no está permitido en Entrada de pago,
Account: {0} with currency: {1} can not be selected,Cuenta: {0} con divisa: {1} no puede ser seleccionada,
Accountant,Contador,
Accounting,Contabilidad,
Accounting Details,Detalles de Contabilidad,
Accounting Dimension,Dimensión contable,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,La dimensión contable <b>{0}</b> es necesaria para la cuenta &#39;Balance&#39; {1}.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,La dimensión contable <b>{0}</b> es necesaria para la cuenta &#39;Ganancias y pérdidas&#39; {1}.,
Accounting Dimension Detail,Detalle de dimensión contable,
Accounting Dimension Filter,Filtro de Dimensiones contables,
Accounting Dimensions,Dimensiones Contables,
Accounting Entries,Asientos contables,
Accounting Entry for Asset,Entrada Contable para Activos,
Accounting Entry for Service,Entrada contable para servicio,
Accounting Entry for Stock,Asiento contable para inventario,
Accounting Entry for {0}: {1} can only be made in currency: {2},Asiento contable para {0}: {1} sólo puede realizarse con la divisa: {2},
Accounting Ledger,Libro contable,
Accounting Period,Período Contable,
Accounting Period overlaps with {0},El período contable se superpone con {0},
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Los asientos contables están congelados hasta esta fecha. Nadie puede crear o modificar entradas excepto los usuarios con el rol especificado a continuación,
Accounts,Cuentas,
Accounts Frozen Till Date,Cuentas congeladas hasta,
Accounts Manager,Gerente de Cuentas,
Accounts Payable,Cuentas por pagar,
Accounts Payable Summary,Balance de cuentas por pagar,
Accounts Receivable,Cuentas por cobrar,
Accounts Receivable Credit Account,Cuentas por cobrar Cuenta de crédito,
Accounts Receivable Discounted Account,Cuentas por cobrar Cuenta con descuento,
Accounts Receivable Summary,Balance de cuentas por cobrar,
Accounts Receivable Unpaid Account,Cuentas por cobrar Cuenta impaga,
Accounts Settings,Configuración de cuentas,
Accounts User,Cuentas de Usuario,
Accounts table cannot be blank.,La tabla de cuentas no puede estar en blanco,
Accrual Journal Entry for salaries from {0} to {1},Asiento contable de Acumulación para Salarios de {0} a {1},
Accrual Type,Accrual Type,
Accrued Interest,Accrued Interest,
Accumulated Depreciation,Depreciación acumulada,
Accumulated Depreciation Account,Cuenta de depreciación acumulada,
Accumulated Depreciation Amount,Depreciación acumulada Importe,
Accumulated Depreciation as on,La depreciación acumulada como en,
Accumulated Monthly,acumulado Mensual,
Accumulated Values,Valores acumulados,
Accumulated Values in Group Company,Valores Acumulados en el Grupo de la Empresa,
Acerca de DiamoERP,Acerca de DiamoERP,
Achieved ({}),Logrado ({}),
Achievement,Logro,
Acquisition Date,Fecha de Adquisición,
Action,Acción,
Action If Quality Inspection Is Not Submitted,Acción si no se envía la inspección de calidad,
Action If Quality Inspection Is Rejected,Acción si la inspección de calidad es rechazada,
Action If Same Rate is Not Maintained,Acción si no se mantiene el mismo precio,
Action Initialised,Acción inicializada,
Action if Accumulated Monthly Budget Exceeded on Actual,Acción si el Presupuesto Mensual Acumulado excedió el real,
Action if Accumulated Monthly Budget Exceeded on MR,Acción si el Presupuesto Mensual Acumulado excedió en MR,
Action if Accumulated Monthly Budget Exceeded on PO,Acción si el Presupuesto Mensual Acumuladose excedió en Orden de Compra,
Action if Annual Budget Exceeded on Actual,Acción si el Presupuesto Anual excedió el Real,
Action if Annual Budget Exceeded on MR,Acción si el Presupuesto Anual excedió en MR,
Action if Annual Budget Exceeded on PO,Acción si se excedió el Presupuesto Anual en Orden de Compra,
Actions,Acciones,
Actions performed,Acciones realizadas,
Active,Activo,
Active Assist,Asistencia activa,
Active Leads,Leads activos,
Active Menu,Menú Activo,
Activities,Actividades,
Activity,Actividad,
Activity Cost,Costo de Actividad,
Activity Cost exists for Employee {0} against Activity Type - {1},Existe un coste de actividad para el empleado {0} contra el tipo de actividad - {1},
Activity Cost per Employee,Coste de actividad por empleado,
Activity Date,Fecha de actividad,
Activity Name,Nombre de la Actividad,
Activity Type,Tipo de actividad,
Actual,Actual,
Actual Amount,Cantidad real,
Actual Balance Qty,Actual Balance Qty,
Actual Batch Quantity,Cantidad de lote real,
Actual Cost,Costo real,
Actual Date,Fecha Real,
Actual Delivery Date,Fecha de entrega real,
Actual End Date,Fecha de finalización real,
Actual End Date (via Time Sheet),Fecha de finalización real (a través de hoja de horas),
Actual End Time,Hora final real,
Actual Manufactured Qty,Actual Manufactured Qty,
Actual Operating Cost,Costo de operación real,
Actual Operation Time,Hora de operación real,
Actual Qty,Cantidad Real,
Actual Qty (at source/target),Cantidad real (en origen/destino),
Actual Qty After Transaction,Cantidad real después de transacción,
Actual Qty is mandatory,La cantidad real es obligatoria,
Actual Qty {0} / Waiting Qty {1},Cantidad real {0} / Cantidad esperada {1},
Actual Qty: Quantity available in the warehouse.,Cantidad actual: Cantidad disponible en el almacén.,
Actual Quantity,Cantidad real,
Actual Start Date,Fecha de inicio real,
Actual Start Date (via Time Sheet),Fecha de inicio real (a través de hoja de horas),
Actual Start Time,Hora de inicio real,
Actual Time (in Hours),Tiempo real (en horas),
Actual Time (in hours),Tiempo real (en horas),
Actual Time and Cost,Tiempo y costo reales,
Actual qty in stock,Cantidad real en stock,
Actual type tax cannot be included in Item rate in row {0},El tipo de impuesto real no puede incluirse en la tarifa del artículo en la fila {0},
Add,Agregar,
Add / Edit Fields,Agregar / Editar Filtros,
Add / Edit Prices,Añadir / editar precios,
Add / Edit Taxes and Charges,Añadir / Editar Impuestos y Cargos,
Add Article to Topics,Agregar artículo a temas,
Add Child,Agregar hijo,
Add Comment,Agregar comentario,
Add Corrective Operation Cost in Finished Good Valuation,Add Corrective Operation Cost in Finished Good Valuation,
Add Course to Programs,Agregar curso a programas,
Add Customers,Agregar clientes,
Add Employees,Añadir empleados,
Add Exercise Step,Agregar paso de ejercicio,
Add Exercises,Agregar ejercicios,
Add Guardians to Email Group,Agregar tutores al grupo de correo electrónico,
Add Item,Añadir artículo,
Add Items,Añadir los artículos,
Add Leads,Añadir Iniciativas,
Add Loan Security,Agregar seguridad de préstamo,
Add Medication Orders,Agregar pedidos de medicamentos,
Add Multiple,Añadir Multiple,
Add Multiple Service Units,Add Multiple Service Units,
Add Multiple Tasks,Agregar Tareas Múltiples,
Add New Line,Agregar nueva línea,
Add Or Deduct,Add Or Deduct,
Add Order Discount,Agregar descuento de pedido,
Add Participants,Agregar Participantes,
Add Quiz to Topics,Agregar cuestionario a temas,
Add Quote,Añadir Cita,
Add Row,Añadir Fila,
Add Sales Partners,Añadir socios de ventas,
Add Serial No,Agregar No. de serie,
Add Students,Añadir estudiantes,
Add Suppliers,Añadir Proveedores,
Add Template,Agregar una Plantilla,
Add Test,Añadir Prueba,
Add Time Slots,Agregar Intervalos de Tiempo,
Add Timesheets,Añadir registros de horas,
Add Timeslots,Añadir Intervalos de Tiempo,
Add Topic to Courses,Agregar tema a los cursos,
Add Users to Marketplace,Agregar usuarios al mercado,
Add Weekly Holidays,Añadir Vacaciones Semanales,
Add a new address,Añadir una nueva dirección,
Add items in the Item Locations table,Agregar elementos en la tabla Ubicaciones de elementos,
Add letterhead,Agregar membrete,
Add more items or open full form,Añadir más elementos o abrir formulario completo,
Add notes,Agregar notas,
Add or Deduct,Agregar o deducir,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Añadir el resto de su organización como a sus usuarios. También puede agregar o invitar a los clientes a su portal con la adición de ellos desde Contactos,
Add to Cart,Añadir a la Cesta,
Add to Courses,Agregar a cursos,
Add to Details,Añadir a Detalles,
Add to Featured Item,Agregar al artículo destacado,
Add to Holidays,Agregar a Vacaciones,
Add to Programs,Agregar a programas,
Add to Quote,Add to Quote,
Add to Topics,Agregar a temas,
Add to Transit,Agregar al tránsito,
Add unused leaves from previous allocations,Añadir permisos no usados de asignaciones anteriores,
Add your review,Agrega tu evaluación,
Add/Edit Coupon Conditions,Agregar / editar condiciones de cupón,
Added,Agregado,
Added to Featured Items,Agregado a elementos destacados,
Added to details,Agregado a los Detalles,
Added {0} ({1}),Añadido: {0} ({1}),
Added {0} users,Se agregaron {0} usuarios,
Adding Order Entries,Agregar entradas de pedido,
Additional Amount,Monto adicional,
Additional Cost,Costo adicional,
Additional Costs,Costes adicionales,
Additional DIscount Amount,Monto adicional de descuento,
Additional DIscount Percentage,Porcentaje de descuento adicional,
Additional Details,Detalles adicionales,
Additional Discount,Descuento adicional,
Additional Discount Account,Cuenta de descuento adicional,
Additional Discount Amount,Cantidad de descuento adicional,
Additional Discount Amount (Company Currency),Monto adicional de descuento (Divisa por defecto),
Additional Discount Percentage,Porcentaje de descuento adicional,
Additional Information,Información adicional,
Additional Notes,Notas adicionales,
Additional Operating Cost,Costos adicionales de operación,
Additional PF,PF adicional,
Additional Salary,Additional Salary,
Additional Salary for referral bonus can only be created against Employee Referral with status {0},Additional Salary for referral bonus can only be created against Employee Referral with status {0},
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Salario adicional: {0} ya existe para el componente de salario: {1} para el período {2} y {3},
Additional information regarding the customer.,Información adicional referente al cliente.,
Additional information regarding the patient,Información adicional sobre el paciente,
Address,Dirección,
Address & Contact,Dirección y Contacto,
Address & Contacts,Dirección y Contactos,
Address Desc,Dirección,
Address HTML,Dirección HTML,
Address Line 1,Dirección línea 1,
Address Line 2,Dirección línea 2,
"Address Lines, City, Pincode, GSTIN are mandatory for address {}. Please set them and try again.","Address Lines, City, Pincode, GSTIN are mandatory for address {}. Please set them and try again.",
Address Name,Nombre de la dirección,
Address Title,Dirección,
Address Type,Tipo de dirección,
Address and Contact,Dirección y contacto,
Address and Contacts,Dirección y contactos,
Address lines and city is mandatory for address {}. Please set them and try again.,Address lines and city is mandatory for address {}. Please set them and try again.,
